"DAY 1: PUSH (Chest, Shoulders, Triceps)",,,
Exercise,Sets x Reps,Weight,Notes
--- WARM-UP (10 min) ---,,,
Incline Treadmill Walk,5 min,—,"3% incline, moderate pace"
Push-Ups,2x15-20,—,"Full range, controlled"
Band Pull-Aparts,2x15,—,"Shoulders back, squeeze rear delts"
Band Shoulder Dislocates,2x10,—,"Slow and controlled, wide grip"
--- MAIN LIFTING (~45 min) ---,,,
Barbell Bench Press,4x6-8,—,"2-3 min rest, control descent, ribs down"
Incline DB Press,3x8-10,—,"90 sec rest, stretch at bottom"
Overhead DB Extension,3x12,—,"60 sec rest, stretch at bottom"
Weighted Dips,3x8-10,—,"90 sec rest, lean forward for chest"
Cable Fly,3x12-15,—,"60 sec rest, squeeze at peak"
Overhead Rope Extension,3x12-15,—,"60 sec rest, full stretch at bottom"
--- ABS/CORE (10 min) ---,,,
Hanging Leg Raises,3x15,—,"Control the swing, curl pelvis up"
Rope Pulldown Crunches,3x15-20,—,"Curl ribs to hips, exhale hard"
Plank,3x45 sec,—,"Squeeze glutes, brace core, protect low back"
,,,
"DAY 2: PULL (Back, Biceps, Rear Delts)",,,
Exercise,Sets x Reps,Weight,Notes
--- WARM-UP (10 min) ---,,,
Rowing Machine,5 min,—,"Moderate pace, feel lats engage"
Dead Hangs,2x30 sec,—,"Relax shoulders, decompress spine"
Scapular Pull-Ups,2x10,—,Depress and retract
Band Rows,2x15,—,"Light, activate rhomboids"
--- MAIN LIFTING (~45 min) ---,,,
Pull-Ups,4x10-12,—,"2-3 min rest, full hang to chin over"
T-Bar Row,4x8-10,—,"2 min rest, chest supported if needed"
Close Grip Lat Pulldown,3x10-12,—,"90 sec rest, pull to chest, squeeze lats"
Single-Arm Cable Row,3x12/side,—,"60 sec rest, pull straight back"
Face Pulls,3x15,—,"60 sec rest, pull to forehead"
EZ Bar Curl,3x10,—,"90 sec rest, control eccentric"
Hammer Curls,3x12,—,"60 sec rest, no swinging"
--- ABS/CORE (10 min) ---,,,
Hanging Leg Raises,3x15,—,"Controlled, curl pelvis up at top"
Reverse Crunches,3x15,—,"Curl hips off floor, no momentum"
Ab Wheel Rollouts,3x10-12,—,"From knees, brace core, protect low back"
,,,
"DAY 3: LEGS (Quads, Glutes, Hamstrings, Calves)",,,
Exercise,Sets x Reps,Weight,Notes
--- WARM-UP (10 min) ---,,,
Bike or Stair Stepper,5 min,—,"Easy pace, blood flowing"
Air Squats,2x20,—,"Controlled depth, activate legs"
Zombie Walks,2x10/leg,—,"Straight leg kicks, feel hamstring stretch"
Banded Lateral Walks,2x10 steps/side,—,Glute med activation
Deep Squat Hold,2 min,—,"Sink low, pry knees out, breathe"
--- MAIN LIFTING (~45 min) ---,,,
Hip Thrusts,4x10-12,—,"2 min rest, pause and squeeze at top"
Goblet Squat,4x10-12,—,"2 min rest, depth focus, upright torso"
Leg Press,3x12-15,—,"90 sec rest, controlled, don't lock knees"
Leg Extension,3x12-15,—,"60 sec rest, squeeze at top, knee-friendly weight"
Lying Leg Curl,3x12-15,—,"60 sec rest, control the negative"
Hip Abductor Machine,3x15,—,"60 sec rest, squeeze at top"
Walking Lunges (Light),3x10/leg,—,"Light DBs or bodyweight, short steps, upright torso"
Seated Calf Raises,4x15-20,—,"45 sec rest, pause at stretch"
--- ABS/CORE (10 min) ---,,,
Hanging Leg Raises,3x15,—,"Controlled, no swinging, curl pelvis"
Rope Pulldown Crunches,3x15-20,—,"Curl ribs to hips, exhale hard"
Plank,3x45 sec,—,"Squeeze glutes, brace core, low back neutral"
